Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Death/1 mil population,Total Tests,Tests/1 mil population,Population
Algeria,204597,5853,140238.0,58506.0,4561,130,230861.0,5147.0,44857594
Angola,61378,1622,49601.0,10155.0,1797,47,1043451.0,30543.0,34163081
Benin,24335,159,23257.0,919.0,1943,13,604310.0,48243.0,12526305
Botswana,180438,2376,176595.0,1467.0,74810,985,1770961.0,734241.0,2411963
Burkina Faso,14495,195,14028.0,272.0,670,9,219242.0,10136.0,21630767
Burundi,19041,38,773.0,18230.0,1543,3,345742.0,28018.0,12340090
Cabo Verde,37888,346,37070.0,472.0,67216,614,209870.0,372326.0,563672
Cameroon,95399,1517,80433.0,13449.0,3484,55,1751774.0,63969.0,27384891
CAR,11401,100,6859.0,4442.0,2310,20,60228.0,12200.0,4936522
Chad,5059,174,4865.0,20.0,297,10,147563.0,8668.0,17023967
Comoros,4165,147,3997.0,21.0,4663,165,,,893136
Congo,14833,206,12421.0,2206.0,2607,36,188207.0,33074.0,5690553
Djibouti,13179,174,12662.0,343.0,13097,173,225703.0,224296.0,1006274
DRC,57132,1087,50930.0,5115.0,614,12,306299.0,3293.0,93015571
Egypt,312413,17695,263557.0,31161.0,2981,169,3693367.0,35246.0,104787578
Equatorial Guinea,12657,154,11601.0,902.0,8661,105,195087.0,133490.0,1461435
Eritrea,6741,42,6669.0,30.0,1868,12,23693.0,6565.0,3608855
Eswatini,46276,1227,44611.0,438.0,39369,1044,356832.0,303570.0,1175451
Ethiopia,354476,5990,323505.0,24981.0,2989,51,3551983.0,29954.0,118579450
Gabon,32135,201,27333.0,4601.0,14018,88,1245868.0,543470.0,2292433
Gambia,9941,339,9594.0,8.0,3972,135,103187.0,41228.0,2502829
Ghana,128368,1158,124514.0,2696.0,4024,36,1781277.0,55845.0,31897055
Guinea,30501,383,29069.0,1049.0,2245,28,560520.0,41260.0,13584938
Guinea-Bissau,6117,135,5349.0,633.0,3018,67,99393.0,49033.0,2027073
Ivory Coast,60819,666,58893.0,1260.0,2235,24,1044828.0,38402.0,27207688
Kenya,251152,5181,243944.0,2027.0,4544,94,2606152.0,47148.0,55275926
Lesotho,21457,652,11793.0,9012.0,9916,301,222183.0,102679.0,2163868
Liberia,5799,286,5458.0,55.0,1113,55,128246.0,24622.0,5208655
Libya,346176,4775,270140.0,71261.0,49523,683,1710768.0,244740.0,6990148
Madagascar,42898,958,41322.0,618.0,1500,34,249510.0,8726.0,28594796
Malawi,61676,2290,56430.0,2956.0,3122,116,414671.0,20988.0,19757517
Mali,15471,553,14378.0,540.0,737,26,431532.0,20558.0,20990975
Mauritania,36414,785,35174.0,455.0,7579,163,476512.0,99174.0,4804806
Mauritius,16189,106,1854.0,14229.0,12703,83,358675.0,281434.0,1274457
Morocco,939187,14457,917807.0,6923.0,25067,386,9843264.0,262717.0,37467214
Mozambique,150985,1922,147876.0,1187.0,4665,59,917886.0,28359.0,32366737
Namibia,128106,3527,123542.0,1037.0,49283,1357,719774.0,276900.0,2599398
Niger,6115,204,5799.0,112.0,242,8,162213.0,6407.0,25317186
Nigeria,207694,2747,195274.0,9673.0,977,13,3090114.0,14533.0,212627048
Rwanda,98697,1308,45498.0,51891.0,7388,98,2938657.0,219961.0,13359900
Sao Tome and Principe,3628,56,2974.0,598.0,16172,250,14689.0,65479.0,224332
Senegal,73837,1868,71921.0,48.0,4267,108,813740.0,47026.0,17304051
Seychelles,21638,118,21242.0,278.0,218297,1190,21504.0,216945.0,99122
Sierra Leone,6396,121,4393.0,1882.0,782,15,160729.0,19642.0,8183112
Somalia,21269,1180,9927.0,10162.0,1292,72,239292.0,14541.0,16455956
South Africa,2912145,88317,2791256.0,32572.0,48326,1466,17982358.0,298413.0,60260021
South Sudan,12104,130,11617.0,357.0,1065,11,235462.0,20726.0,11360709
Sudan,38824,2928,32395.0,3501.0,860,65,238579.0,5284.0,45149561
Tanzania,25957,723,,,419,12,,,61893320
Togo,25778,236,24464.0,1078.0,3024,28,526497.0,61758.0,8525150
Tunisia,709834,25028,682353.0,2453.0,59271,2090,2994047.0,250004.0,11975999
Uganda,124646,3176,96278.0,25192.0,2620,67,1723620.0,36231.0,47573189
Zambia,209347,3654,205478.0,215.0,10997,192,2506657.0,131670.0,19037355
Zimbabwe,131796,4637,125228.0,1931.0,8706,306,1435792.0,94846.0,15138106
